,INGRD_NM
619,강력쌀가루
620,포도
621,새우젓국물
622,캔참치
623,북어채
624,멥쌀
625,맥주
626,실고추
627,구운소금
628,김장김치
629,들깨
630,모듬해물
631,요구르트
632,술
633,북어
634,콜라
635,톳
636,돼지앞다리살
637,천연조미료육수
638,자두
639,백앙금
640,바질페스토
641,로메인
642,데친브로콜리
643,케이퍼
644,피스타치오
645,미숫가루
646,깍두기
647,칼국수
648,코코넛가루
649,누룽지
650,소스
651,채소
652,호박고구마
653,할라피뇨
654,옥수수가루
655,곶감
656,노각
657,스프링클
658,잼
659,홍초
660,표고
661,죽염
662,가리비
663,떡갈비
664,식용색소
665,백후추
666,소고기양지
667,저염간장
668,맛타리버섯
669,호박잎
670,자몽
671,모시조개
672,콜라비
673,건표고
674,중멸치
675,아이스크림
676,미소된장
677,라임
678,만가닥버섯
679,레몬청
680,무가당코코아가루
681,꼬치
682,고수
683,흰후추
684,황태포
685,둥근호박
686,바질잎
687,건다시마
688,파프리카빨강
689,땅콩분태
690,발사믹소스
691,콩비지
692,바닐라설탕
693,미더덕
694,타임
695,돼지고기소불고기용
696,물녹말
697,밀크초콜렛
698,장어
699,사워크림
700,김자반
701,튀김유
702,납작어묵
703,치킨파우더
704,갑오징어
705,미니단호박
706,초장
707,생닭
708,녹두
709,커버춰초콜렛
710,와인
711,병아리콩
712,핫케익가루
713,감초
714,리챔
715,체리
716,에스프레소
717,바닐라액
718,바베큐소스
719,잡채용돼지고기
720,근대
721,자색양파
722,오렌지주스
723,스위트칠리소스
724,쌀엿
725,볶은소금
726,고추참치
727,가자미
728,말차가루
729,우엉조림
730,리코타치즈
731,유부초밥
732,물만두
733,젤라틴
734,토란대
735,늙은호박
736,냉동블루베리
737,시리얼
738,양파중
739,이쑤시개
740,마른표고
741,바닐라아이스크림
742,슬라이스체다치즈
743,식물성기름
744,반건조오징어
745,송이버섯
746,오레오
747,메밀면
748,콩
749,케일
750,오리고기
751,연어캔
752,호떡믹스
753,고춧기름
754,생와사비
755,밀떡
756,감식초
757,황태머리
758,풋마늘
759,망고
760,마
761,과일
762,등심
763,샌드위치햄
764,소고기사태
765,자일로스설탕
766,발사믹글레이즈
767,흰밥
768,핫도그빵
769,마가린
770,깻잎순
771,현미유
772,조갯살
773,팔각
774,럼
775,부침용두부
776,북어포
777,흑후추
778,생표고버섯
779,사골국물
780,햇반
781,크림소스
782,초코시럽
783,보리새우
784,튀김용기름
785,멥쌀가루
786,애플민트
787,사골곰탕
788,부침유
789,정향
790,고구마순
791,현미
792,통아몬드
793,얼음물
794,볶은깨
795,편생강
796,밀가루풀
797,분홍소시지
798,밀가루강력분
799,게살
800,현미식초
801,바닐라엑스트렉
802,통조림옥수수
803,엿기름
804,양파껍질
805,청량초
806,면
807,청포묵
808,방풍나물
809,소고기안심
810,초코펜
811,훈제닭가슴살
812,호두분태
813,골뱅이통조림
814,혼다시
815,김밥용단무지
816,시금치나물
817,월계수
818,갓
819,무청
820,엑스트라버진올리브오일
821,천연조미료해물육수
822,밀가루중력분
823,블루베리잼
824,바닐라향
825,닭가슴살캔
826,쥐포
827,짜파게티
828,간소고기
829,비름나물
830,조기
831,햄버거빵
832,양파가루
833,동태포
834,카스테라
835,크래커
836,건블루베리
837,스리라차소스
838,서리태
839,동그랑땡
840,쌀조청
841,메밀가루
842,베이글
843,닭안심살
844,쥐똥고추
845,우리밀강력분
846,인절미
847,메밀국수
848,멸치볶음
849,다짐육
850,땅콩가루
851,저염액젓
852,짜장라면
853,허브
854,마른김
855,실곤약
856,냉동해물
857,치킨너겟
858,라임즙
859,대파잎
860,조랭이떡
861,조개
862,발사믹크림
863,냉동딸기
864,관자
865,단배추
866,그라나파다노치즈
867,마스카포네치즈
868,한천가루
869,백오이
870,레몬제스트
871,쑥가루
872,사과잼
873,아몬드분말
874,누텔라
875,중면
876,갓김치
877,볶음참깨
878,집고추장
879,무청시래기
880,꽃빵
881,홍시
882,후리가케
883,오징어다리
884,백련초가루
885,오이채
886,잣가루
887,대구
888,루꼴라
889,동치미무
890,굴비
891,청포도
892,천도복숭아
893,양념간장
894,오징어실채
895,대파채
896,막걸리
897,방아잎
898,무채
899,땅콩잼
900,익은배추김치
901,감자전분가루
902,매운건고추
903,피넛버터
904,파스타면소스
905,오리훈제
906,샤브샤브용소고기
907,멍게
908,파인애플통조림
909,완숙토마토
910,각종채소
911,파프리카파우더
912,모듬어묵
913,가다랑어포
914,오리슬라이스
915,총각김치
916,물전분
917,골뱅이국물
918,납작당면
919,해물
920,생땅콩
921,검정콩
922,레몬식초
923,맵쌀
924,표고가루
925,다시다가루
926,우렁
927,볶은콩가루
928,밥새우
929,해물육수
930,요플레
931,꼬마새송이버섯
932,발사믹드레싱
933,캔햄
934,아보카도오일
935,우동
936,고춧잎
937,골드키위
938,렌틸콩
939,넛맥
940,꼬지
941,데친시금치
942,치킨텐더
943,우렁이
944,무쌈
945,지리멸치
946,끓는물
947,다크커버춰
948,멸치다싯물
949,돼지고기뒷다리살
950,냉수
951,찐단호박
952,천연가루
953,잉글리쉬머핀
954,오미자청
955,유리병
956,우리밀
957,돌미나리
958,노랑피망
959,청상추
960,식은밥
961,고등어통조림
962,쌀떡
963,청파프리카
964,연어통조림
965,볶음깨
966,레몬주스
967,양조식초
968,분당
969,건과일
970,백미
971,플레인요플레
972,파르메산치즈가루
973,매운고추가루
974,유채나물
975,석류
976,돼지고기잡채용
977,토종닭
978,팥배기
979,방울양배추
980,푸실리
981,소고기육수
982,고르곤졸라치즈
983,홀토마토
984,백김치
985,초록파프리카
986,레드페퍼
987,묵은지김치
988,후르츠칵테일
989,열무김치국물
990,족발
991,디종머스타드
